Smithfield North,,"Smithfield North,Parnell Square North,Clonmel Street,Avondale Road,James Street East,Mount Street Lower,Christchurch Place,Grantham Street,Pearse Street,York Street East,Excise Walk,Fitzwilliam Square West,Portobello Road,Parnell Street,Frederick Street South,Fownes Street Upper,Clarendon Row,Custom House,Rathdown Road,North Circular Road (O'Connell's),Hanover Quay,Oliver Bond Street,Collins Barracks Museum,Brookfield Road,Benson Street,Earlsfort Terrace,Golden Lane,Deverell Place,Wilton Terrace (Park),John Street West,Fenian Street,Merrion Square South,South Dock Road,City Quay,Exchequer Street,The Point,Broadstone,Hatch Street,Lime Street,Charlemont Street,Kilmainham Gaol,Hardwicke Place,Wolfe Tone Street,Francis Street,Greek Street,Guild Street,Herbert Place,High Street,North Circular Road,Western Way,Talbot Street,Newman House,Sir Patrick's Dun,New Central Bank,Grangegorman Lower (Central),King Street North,Killarney Street,Herbert Street,Hanover Quay East,Custom House Quay,Molesworth Street,Georges Quay,Kilmainham Lane,Mount Brown,Market Street South,Kevin Street,Eccles Street East,Grand Canal Dock,Merrion Square East,York Street West,St. Stephen's Green South,Denmark Street Great,Royal Hospital,Heuston Station (Car Park),Grangegorman Lower (North),St. Stephen's Green East,Heuston Station (Central),Townsend Street,George's Lane,Phibsborough Road,Eccles Street,Portobello Harbour,Mater Hospital,Blessington Street,James Street,Mountjoy Square East,Merrion Square West,Convention Centre,Hardwicke Street,Parkgate Street,Smithfield,Dame Street,Heuston Bridge (South),Cathal Brugha Street,Sandwith Street,Buckingham Street Lower,Rothe Abbey,Charleville Road,Princes Street / O'Connell Street,Upper Sherrard Street,Fitzwilliam Square East,Grattan Street,St James Hospital (Luas),Harcourt Terrace,Bolton Street,Jervis Street,Ormond Quay Upper,Grangegorman Lower (South),Mountjoy Square West,Wilton Terrace,Emmet Road,Heuston Bridge (North),Leinster Street South,Blackhall Place"
Parnell Square North,,
Clonmel Street,,
Avondale Road,,
James Street East,,
Mount Street Lower,,
Christchurch Place,,
Grantham Street,,
Pearse Street,,
York Street East,,
Excise Walk,,
Fitzwilliam Square West,,
Portobello Road,,
Parnell Street,,
Frederick Street South,,
Fownes Street Upper,,
Clarendon Row,,
Custom House,,
Rathdown Road,,
North Circular Road (O'Connell's),,
Hanover Quay,,
Oliver Bond Street,,
Collins Barracks Museum,,
Brookfield Road,,
Benson Street,,
Earlsfort Terrace,,
Golden Lane,,
Deverell Place,,
Wilton Terrace (Park),,
John Street West,,
Fenian Street,,
Merrion Square South,,
South Dock Road,,
City Quay,,
Exchequer Street,,
The Point,,
Broadstone,,
Hatch Street,,
Lime Street,,
Charlemont Street,,
Kilmainham Gaol,,
Hardwicke Place,,
Wolfe Tone Street,,
Francis Street,,
Greek Street,,
Guild Street,,
Herbert Place,,
High Street,,
North Circular Road,,
Western Way,,
Talbot Street,,
Newman House,,
Sir Patrick's Dun,,
New Central Bank,,
Grangegorman Lower (Central),,
King Street North,,
Killarney Street,,
Herbert Street,,
Hanover Quay East,,
Custom House Quay,,
Molesworth Street,,
Georges Quay,,
Kilmainham Lane,,
Mount Brown,,
Market Street South,,
Kevin Street,,
Eccles Street East,,
Grand Canal Dock,,
Merrion Square East,,
York Street West,,
St. Stephen's Green South,,
Denmark Street Great,,
Royal Hospital,,
Heuston Station (Car Park),,
Grangegorman Lower (North),,
St. Stephen's Green East,,
Heuston Station (Central),,
Townsend Street,,
George's Lane,,
Phibsborough Road,,
Eccles Street,,
Portobello Harbour,,
Mater Hospital,,
Blessington Street,,
James Street,,
Mountjoy Square East,,
Merrion Square West,,
Convention Centre,,
Hardwicke Street,,
Parkgate Street,,
Smithfield,,
Dame Street,,
Heuston Bridge (South),,
Cathal Brugha Street,,
Sandwith Street,,
Buckingham Street Lower,,
Rothe Abbey,,
Charleville Road,,
Princes Street / O'Connell Street,,
Upper Sherrard Street,,
Fitzwilliam Square East,,
Grattan Street,,
St James Hospital (Luas),,
Harcourt Terrace,,
Bolton Street,,
Jervis Street,,
Ormond Quay Upper,,
Grangegorman Lower (South),,
Mountjoy Square West,,
Wilton Terrace,,
Emmet Road,,
Heuston Bridge (North),,
Leinster Street South,,
Blackhall Place,,
